key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/arkhan_the_black_expanded							
wh_dlc04_vmp_mortis_engine_rider1_steve	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_liche_priest_casket	wh_main_infantry_rider		false	true	true
wh_dlc04_vmp_mortis_engine_banshee1_arkhan	gh1_banshee_mortisengine	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_banshee2_arkhan	gh1_banshee_mortisengine	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_banshee3_arkhan	gh1_banshee_mortisengine	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_cairn_wraith1_arkhan	gh1_cairn_wraith_nagash	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_cairn_wraith2_arkhan	gh1_cairn_wraith_nagash	wh_vmp_ghost_cairnwraith_nagash	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_horse1_arkhan	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_horse2_arkhan	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_horse3_arkhan	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_mortis_engine	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_knight01_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_knight02_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_knight03_arkhan	hu1_skeleton_hr1_skeletal_steed_mortis_engine	wh2_dlc09_tmb_tomb_guard_halberd_shield	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton1_arkhan	hu1_sk_mortisengine_left_00	wh2_dlc09_tmb_tomb_guard_dual_swords_ror	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton2_arkhan	hu1_sk_mortisengine_left_01	wh2_dlc09_tmb_skeleton_armoured_sword_shield	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton3_arkhan	hu1_sk_mortisengine_left_02	wh2_dlc09_tmb_skeleton_sword	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton4_arkhan	hu1_sk_mortisengine_right_00	wh2_dlc09_tmb_skeleton_sword_shield	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton5_arkhan	hu1_sk_mortisengine_right_01	wh2_dlc09_tmb_tomb_guard_dual_swords_ror	wh_main_infantry_rider		false	true	false
wh_dlc04_vmp_mortis_engine_skeleton6_arkhan	hu1_sk_mortisengine_right_02	wh2_dlc09_tmb_tomb_guard_spear_shield_ror	wh_main_infantry_rider		false	true	false
xereus_tmb_chariot_rider_0	hu1_tomb_wm_tomb_chariot01_whip	wh2_dlc09_tmb_skeleton_charioteer_whip	wh2_dlc09_tmb_skeleton		false	true	false
xereus_tmb_chariot_rider_1_king	hu1_tomb_wm_tomb_chariot01_sword_and_shield	wh2_dlc09_tmb_ch_tomb_king	wh2_dlc09_tmb_skeleton_infantry_hero_lord		false	true	false
xereus_tmb_warsphinx_rider_tomb_king	hu1_tomb_skeleton_sword_and_shield	wh2_dlc09_tmb_skeleton_sword_shield	wh2_dlc09_tmb_skeleton_infantry_hero_lord		false	true	false
