from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/arkhan_the_black_expanded	
stephen_tmb_followers_major_1	stephen_tmb_followers_major_1
stephen_tmb_followers_major_2	stephen_tmb_followers_major_2
stephen_tmb_followers_major_3	stephen_tmb_followers_major_3
stephen_tmb_followers_major_4	stephen_tmb_followers_major_4
stephen_tmb_followers_major_5	stephen_tmb_followers_major_5
stephen_tmb_followers_minor_1	stephen_tmb_followers_minor_1
stephen_tmb_followers_minor_2	stephen_tmb_followers_minor_2
stephen_tmb_followers_minor_3	stephen_tmb_followers_minor_3
stephen_tmb_followers_minor_walls_1	stephen_tmb_followers_minor_walls_1
stephen_tmb_followers_minor_walls_2	stephen_tmb_followers_minor_walls_2
stephen_tmb_followers_major_walls_1	stephen_tmb_followers_major_walls_1
stephen_tmb_followers_major_walls_2	stephen_tmb_followers_major_walls_2
stephen_tmb_followers_major_walls_3	stephen_tmb_followers_major_walls_3
