building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/arkhan_the_black_expanded						
stephen_tmb_followers_major_1	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_major_1	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0	25.0	0.0
stephen_tmb_followers_major_1	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	4.0	1.0	0.0
stephen_tmb_followers_major_1	wh3_main_effect_major_settlement_conversion_bastion_dummy		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_major_1	wh_main_effect_construction_slot_dummy		this_building	1.0	1.0	1.0
stephen_tmb_followers_major_1	wh_main_effect_economy_gdp_subsistance		building_to_building_own	50.0	25.0	0.0
stephen_tmb_followers_major_1	wh_main_effect_province_growth_building		region_to_province_own	15.0	5.0	0.0
stephen_tmb_followers_major_1	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
stephen_tmb_followers_major_1	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	1.0	1.0	0.0
stephen_tmb_followers_major_2	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0	500.0	0.0
stephen_tmb_followers_major_2	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0	25.0	0.0
stephen_tmb_followers_major_2	wh3_main_effect_corruption_vampiric_buildings	FavouredCorruptionVampiric	region_to_province_own	6.0	3.0	0.0
stephen_tmb_followers_major_2	wh3_main_effect_major_settlement_conversion_bastion_dummy		province_to_province_own	1.0	1.0	0.0
stephen_tmb_followers_major_2	wh_main_effect_construction_slot_multiple_dummy		this_building	2.0	2.0	2.0
stephen_tmb_followers_major_2	wh_main_effect_economy_gdp_subsistance		building_to_building_own	100.0	50.0	0.0
stephen_tmb_followers_major_2	wh_main_effect_province_growth_building		region_to_province_own	20.0	10.0	0.0
stephen_tmb_followers_major_2	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0	1.0	1.0
