id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/arkhan_the_black_expanded		
9966885550	stephen_tmb_followers_major_1	followers_settlement_1
9966885555	stephen_tmb_followers_major_2	followers_settlement_2
9966885561	stephen_tmb_followers_major_3	followers_settlement_3
9966885568	stephen_tmb_followers_major_4	followers_settlement_4
9966885577	stephen_tmb_followers_major_5	followers_settlement_5
9966885578	stephen_tmb_followers_major_walls_1	followers_major_1
9966885579	stephen_tmb_followers_major_walls_2	followers_major_2
9966885580	stephen_tmb_followers_major_walls_3	followers_major_3
9966885581	stephen_tmb_followers_minor_walls_1	followers_minor_1
9966885582	stephen_tmb_followers_minor_walls_2	followers_minor_2
9966885583	stephen_tmb_followers_minor_1	followers_settlement_minor_1
9966885584	stephen_tmb_followers_minor_2	followers_settlement_minor_2
9966885585	stephen_tmb_followers_minor_3	followers_settlement_minor_3
