level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/arkhan_the_black_expanded																						
stephen_tmb_followers_major_1	wh2_dlc09_tmb_settlement_major	1	4	750	0		false	false		true	wh2_dlc09_tmb_settlement_major	false	0.0	0	true	0	wh2_cam_settlement_major_tombkings	true	0	0		0
stephen_tmb_followers_major_2	wh2_dlc09_tmb_settlement_major	2	5	1500	0		false	false		true	wh2_dlc09_tmb_settlement_major	false	0.0	1	true	0	wh2_cam_settlement_major_tombkings	true	0	0		0
stephen_tmb_followers_major_3	wh2_dlc09_tmb_settlement_major	3	6	3000	0		false	false		true	wh2_dlc09_tmb_settlement_major	false	0.0	2	true	0	wh2_cam_settlement_major_tombkings	true	0	0		0
stephen_tmb_followers_major_4	wh2_dlc09_tmb_settlement_major	4	7	6000	0		false	false		true	wh2_dlc09_tmb_settlement_major	false	0.0	4	true	0	wh2_cam_settlement_major_tombkings	true	0	0		0
stephen_tmb_followers_major_5	wh2_dlc09_tmb_settlement_major	5	8	12000	0		false	false		true	wh2_dlc09_tmb_settlement_major	false	0.0	5	true	0	wh2_cam_settlement_major_tombkings	true	0	0		0
stephen_tmb_followers_minor_1	wh2_dlc09_tmb_settlement_minor	1	4	750	0		false	false		true	wh2_dlc09_tmb_settlement_minor	false	0.0	0	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
stephen_tmb_followers_minor_2	wh2_dlc09_tmb_settlement_minor	2	5	1500	0		false	false		true	wh2_dlc09_tmb_settlement_minor	false	0.0	1	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
stephen_tmb_followers_minor_3	wh2_dlc09_tmb_settlement_minor	3	6	3000	0		false	false		true	wh2_dlc09_tmb_settlement_minor	false	0.0	2	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
stephen_tmb_followers_necropolis_1	stephen_tmb_followers_necropolis	0	2	1000	0		false	false		true	stephen_tmb_followers_necropolis	false	0.0	0	true	1		true	0	0		0
stephen_tmb_followers_necropolis_2	stephen_tmb_followers_necropolis	1	4	6000	0		false	false		true	stephen_tmb_followers_necropolis	false	0.0	0	true	3		true	0	0		0
stephen_tmb_followers_necropolis_3	stephen_tmb_followers_necropolis	2	8	15000	0		false	false		true	stephen_tmb_followers_necropolis	false	0.0	0	true	5		true	0	0		0
stephen_tmb_followers_minor_walls_1	stephen_tmb_followers_minor_walls	0	5	2000	0		false	false		true	stephen_tmb_followers_minor_walls	false	0.0	0	true	2		true	0	0		0
stephen_tmb_followers_minor_walls_2	stephen_tmb_followers_minor_walls	1	6	4000	0		false	false		true	stephen_tmb_followers_minor_walls	false	0.0	0	true	3		true	0	0		0
stephen_tmb_followers_major_walls_1	stephen_tmb_followers_major_walls	0	5	2000	0		false	false		true	stephen_tmb_followers_major_walls	false	0.0	0	true	2		true	0	0		0
stephen_tmb_followers_major_walls_2	stephen_tmb_followers_major_walls	1	6	4000	0		false	false		true	stephen_tmb_followers_major_walls	false	0.0	0	true	3		true	0	0		0
stephen_tmb_followers_major_walls_3	stephen_tmb_followers_major_walls	2	7	6000	0		false	false		true	stephen_tmb_followers_major_walls	false	0.0	0	true	4		true	0	0		0
