key	building	unit	xp	conditions	faction	enabled
#building_units_allowed_tables;4;db/building_units_allowed_tables/arkhan_the_black_expanded						
11889975	wh2_main_special_galbaraz_mourkain_tmb_1	xereus_tmb_mon_crypt_horror	0	0		false
11889976	wh2_dlc15_special_morgheim_necropolis_tmb	xereus_tmb_mon_crypt_horror	0	0		false
11889977	wh2_dlc14_special_nagashizzar_arkhan	xereus_tmb_inf_nagashizzar_guard	0	0		false
11889978	wh2_dlc09_tmb_arkhan_burial_mound_2	xereus_tmb_inf_cairn_wraith	0	0		false
11889979	wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_tmb_cav_hexwraiths	0	0		false
11889980	wh2_dlc09_special_black_tower_of_arkhan	xereus_tmb_mon_zombie_dragon	0	0		false
11889981	wh2_dlc14_special_nagashizzar_arkhan	xereus_tmb_mon_zombie_dragon	0	0		false
11889982	stephen_tmb_followers_ushabti_1	xereus_tmb_mon_ushabti	0	0		false
11889983	stephen_tmb_followers_ushabti_2	xereus_tmb_mon_ushabti	0	0		false
11889984	stephen_tmb_followers_ushabti_2	xereus_tmb_mon_ushabti_great	0	0		false
11889985	wh2_dlc09_special_black_tower_of_arkhan	wh2_dlc09_tmb_cav_hexwraiths	0	0		false
11889986	arkhan_tmb_vault_nagash	xereus_tmb_mon_zombie_dragon	0	0		false
11889987	arkhan_tmb_vault_nagash	wh2_dlc09_tmb_cav_hexwraiths	0	0		false
11889988	stephen_tmb_followers_barracks_1	xereus_tmb_inf_skeleton_archers	0	0		false
11889989	stephen_tmb_followers_barracks_1	xereus_tmb_inf_nehekhara_warriors	0	0		false
11889990	stephen_tmb_followers_barracks_2	xereus_tmb_inf_skeleton_archers	0	0		false
11889991	stephen_tmb_followers_barracks_2	xereus_tmb_inf_tomb_guard	0	0		false
11889992	stephen_tmb_followers_barracks_3	xereus_tmb_inf_tomb_guard	0	0		false
11889993	stephen_tmb_followers_barracks_3	xereus_tmb_inf_tomb_guard_halberd	0	0		false
11889994	stephen_tmb_followers_barracks_3	xereus_tmb_inf_skeleton_archers	0	0		false
11889995	stephen_tmb_followers_minor_walls_2	xereus_tmb_art_screaming_skull_catapult	0	0		false
11889996	stephen_tmb_followers_major_walls_1	xereus_tmb_art_screaming_skull_catapult	0	0		false
11889997	stephen_tmb_followers_major_walls_2	xereus_tmb_art_screaming_skull_catapult	0	0		false
11889998	stephen_tmb_followers_major_walls_3	xereus_tmb_art_screaming_skull_catapult	0	0		false
11889999	stephen_tmb_followers_major_1	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890000	stephen_tmb_followers_major_1	xereus_tmb_inf_skeleton_warriors	0	0		false
11890001	stephen_tmb_followers_major_2	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890002	stephen_tmb_followers_major_2	xereus_tmb_inf_skeleton_warriors	0	0		false
11890003	stephen_tmb_followers_major_3	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890004	stephen_tmb_followers_major_3	xereus_tmb_inf_skeleton_warriors	0	0		false
11890005	stephen_tmb_followers_major_4	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890006	stephen_tmb_followers_major_4	xereus_tmb_inf_skeleton_warriors	0	0		false
11890007	stephen_tmb_followers_major_5	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890008	stephen_tmb_followers_major_5	xereus_tmb_inf_skeleton_warriors	0	0		false
11890009	stephen_tmb_followers_scorpions_1	xereus_tmb_mon_tomb_scorpion	0	0		false
11890010	stephen_tmb_followers_barracks_2	xereus_tmb_inf_nehekhara_warriors	0	0		false
11890011	stephen_tmb_followers_barracks_3	xereus_tmb_inf_nehekhara_warriors	0	0		false
11890012	stephen_tmb_followers_hierotitan_1	xereus_tmb_mon_heirotitan	0	0		false
11890013	stephen_tmb_followers_necrosphinx_1	xereus_tmb_mon_necrosphinx	0	0		false
11890014	stephen_tmb_followers_cavalry_1	xereus_tmb_cav_necropolis_knights_1	0	0		false
11890015	stephen_tmb_followers_cavalry_2	xereus_tmb_cav_necropolis_knights_1	0	0		false
11890016	stephen_tmb_followers_cavalry_2	xereus_tmb_cav_necropolis_knights_2	0	0		false
11890017	stephen_tmb_followers_graveguard	xereus_tmb_inf_grave_guard	0	0		false
11890018	stephen_tmb_followers_graveguard	xereus_tmb_inf_grave_guard_great	0	0		false
11890019	stephen_tmb_followers_minor_1	xereus_tmb_inf_skeleton_warriors	0	0		false
11890020	stephen_tmb_followers_minor_1	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890021	stephen_tmb_followers_minor_2	xereus_tmb_inf_skeleton_warriors	0	0		false
11890022	stephen_tmb_followers_minor_2	xereus_tmb_inf_skeleton_spearmen	0	0		false
11890023	stephen_tmb_followers_minor_3	xereus_tmb_inf_skeleton_warriors	0	0		false
11890024	stephen_tmb_followers_minor_3	xereus_tmb_inf_skeleton_spearmen	0	0		false
