from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/arkhan_the_black_expanded	
stephen_tmb_followers_major_1	stephen_tmb_followers_major_2
stephen_tmb_followers_major_2	stephen_tmb_followers_major_3
stephen_tmb_followers_major_3	stephen_tmb_followers_major_4
stephen_tmb_followers_major_4	stephen_tmb_followers_major_5
stephen_tmb_followers_minor_1	stephen_tmb_followers_minor_2
stephen_tmb_followers_minor_2	stephen_tmb_followers_minor_3
wh2_dlc09_tmb_settlement_major_ruin	stephen_tmb_followers_major_1
wh2_dlc09_tmb_settlement_minor_ruin	stephen_tmb_followers_minor_1
stephen_tmb_followers_necropolis_1	stephen_tmb_followers_necropolis_2
stephen_tmb_followers_necropolis_2	stephen_tmb_followers_necropolis_3
stephen_tmb_followers_minor_walls_1	stephen_tmb_followers_minor_walls_2
stephen_tmb_followers_major_walls_1	stephen_tmb_followers_major_walls_2
stephen_tmb_followers_major_walls_2	stephen_tmb_followers_major_walls_3
stephen_tmb_followers_ushabti_1	stephen_tmb_followers_ushabti_2
stephen_tmb_followers_barracks_1	stephen_tmb_followers_barracks_2
stephen_tmb_followers_barracks_2	stephen_tmb_followers_barracks_3
wh2_dlc09_tmb_settlement_major_1	stephen_tmb_followers_major_2
wh2_dlc09_tmb_settlement_major_2	stephen_tmb_followers_major_3
wh2_dlc09_tmb_settlement_major_3	stephen_tmb_followers_major_4
wh2_dlc09_tmb_settlement_major_4	stephen_tmb_followers_major_5
stephen_tmb_followers_decaying_battlefield_1	stephen_tmb_followers_decaying_battlefield_2
stephen_tmb_followers_decaying_battlefield_2	stephen_tmb_followers_decaying_battlefield_3
stephen_tmb_followers_cavalry_1	stephen_tmb_followers_cavalry_2
wh2_dlc09_tmb_settlement_minor_1	stephen_tmb_followers_minor_2
wh2_dlc09_tmb_settlement_minor_2	stephen_tmb_followers_minor_3
