building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/arkhan_the_black_expanded																												
stephen_tmb_followers_necropolis						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
stephen_tmb_followers_minor_walls		stephen_tmb_followers_minor_walls_1	stephen_tmb_followers_minor_walls_2			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	1500
stephen_tmb_followers_major_walls		stephen_tmb_followers_major_walls_1	stephen_tmb_followers_major_walls_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	1500
		stephen_tmb_followers_ushabti_1	stephen_tmb_followers_ushabti_2			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	900	900
stephen_tmb_followers_barracks		stephen_tmb_followers_barracks_1	stephen_tmb_followers_barracks_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
arkhan_tmb_vault_nagash						cai_military_group					0	0	500	500	500	500	0	0	-1	-1	0	0	0	0	0	0	1500	1500
		stephen_tmb_followers_scorpions_1	stephen_tmb_followers_scorpions_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
		stephen_tmb_followers_hierotitan_1	stephen_tmb_followers_hierotitan_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	1500
stephen_tmb_followers_major						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
stephen_tmb_followers_cavalry		stephen_tmb_followers_cavalry_1	stephen_tmb_followers_cavalry_2			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
stephen_tmb_followers_minor						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	1000
