art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/tmb_king_fix								
stephen_art_set_tmb_tomb_king_01	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	1.0
stephen_art_set_tmb_tomb_king_02	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_lahmizzash	1.0
stephen_art_set_tmb_tomb_king_03	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_rakhash	1.0
stephen_art_set_tmb_tomb_king_04	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_setep	1.0
stephen_art_set_tmb_tomb_king_05	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_thutep	1.0
stephen_art_set_tmb_tomb_king_06	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king_wakhaf	1.0
stephen_art_set_tmb_tomb_king_07	general	wh2_dlc09_tmb_tomb_kings			false	true	default	1.0
wh2_dlc09_art_set_tmb_tomb_king_01	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
wh2_dlc09_art_set_tmb_tomb_king_02	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
wh2_dlc09_art_set_tmb_tomb_king_03	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
wh2_dlc09_art_set_tmb_tomb_king_04	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
wh2_dlc09_art_set_tmb_tomb_king_05	general	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_king	1.0
