id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/arkhan_the_black_expanded		
wh3_main_corruption_vampiric_1-10_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_1-10	1.0
wh3_main_corruption_vampiric_11-20_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_11-20	1.0
wh3_main_corruption_vampiric_21-30_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_21-30	1.0
wh3_main_corruption_vampiric_31-40_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_31-40	1.0
wh3_main_corruption_vampiric_41-50_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_41-50	1.0
wh3_main_corruption_vampiric_51-60_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_51-60	1.0
wh3_main_corruption_vampiric_61-70_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_61-70	1.0
wh3_main_corruption_vampiric_71-80_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_71-80	1.0
wh3_main_corruption_vampiric_81-90_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_81-90	1.0
wh3_main_corruption_vampiric_91-100_wh2_dlc09_tmb_followers_of_nagash	wh3_main_corruption_vampiric_good_91-100	1.0
