bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/arkhan_technology		
unit_is_magical	tech_arkhan_crypt_ghoul_bonus_1	wh2_dlc09_tmb_inf_crypt_ghouls
unit_damage_resistance_physical_mod	tech_arkhan_crypt_ghoul_bonus_2	wh2_dlc09_tmb_inf_crypt_ghouls
mod_land_movement_battle	tech_arkhan_crypt_ghoul_bonus_3	wh2_dlc09_tmb_inf_crypt_ghouls
mod_land_movement_battle	tech_arkhan_dire_wolves_bonus_2	wh2_dlc09_tmb_mon_dire_wolves
damage_vs_infantry	tech_arkhan_dire_wolves_bonus_2	wh2_dlc09_tmb_mon_dire_wolves
unit_is_magical	tech_arkhan_fell_bats_bonus_3	wh2_dlc09_tmb_mon_fell_bats
unit_damage_resistance_physical_mod	tech_arkhan_fell_bats_bonus_2	wh2_dlc09_tmb_mon_fell_bats
battle_barrier_health	tech_arkhan_cairn_wraiths_bonus_1	xereus_tmb_inf_cairn_wraith
melee_attack_mod	tech_arkhan_cairn_wraiths_bonus_3	xereus_tmb_inf_cairn_wraith
battle_barrier_health	tech_arkhan_hexwraith_bonus_1	wh2_dlc09_tmb_cav_hexwraiths
mod_land_movement_battle	tech_arkhan_hexwraith_bonus_3	wh2_dlc09_tmb_cav_hexwraiths
battle_barrier_health	tech_arkhan_mortis_engine_bonus_1	xereus_tmb_veh_mortis_engine
mod_land_movement_battle	tech_arkhan_mortis_engine_bonus_3	xereus_tmb_veh_mortis_engine
