bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/arkhan_the_black_unit_caps		
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_skeleton_archers_hidden	xereus_tmb_inf_skeleton_archers
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard_hidden	xereus_tmb_inf_tomb_guard
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard_halberd_hidden	xereus_tmb_inf_tomb_guard_halberd
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_nehekhara_warriors_hidden	xereus_tmb_inf_nehekhara_warriors
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_cairn_wraith_hidden	xereus_tmb_inf_cairn_wraith
unit_cap	wh2_dlc09_effect_unit_cap_tmb_cav_hexwraiths_hidden	wh2_dlc09_tmb_cav_hexwraiths
unit_cap	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls_hidden	wh2_dlc09_tmb_inf_crypt_ghouls
unit_cap	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves_hidden	wh2_dlc09_tmb_mon_dire_wolves
unit_cap	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats_hidden	wh2_dlc09_tmb_mon_fell_bats
unit_cap	wh2_dlc09_effect_unit_cap_xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard
unit_cap	wh2_dlc09_effect_unit_cap_xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great
unit_cap	wh2_dlc09_effect_unit_cap_xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith
unit_cap	wh2_dlc09_effect_unit_cap_xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror
unit_cap	wh2_dlc14_effect_unit_cap_arkhan_vmp_all	xereus_tmb_inf_cairn_wraith
unit_cap	sda_effect_unit_cap_xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd
unit_cap	sda_effect_unit_cap_xereus_tmb_art_screaming_skull_catapult	xereus_tmb_art_screaming_skull_catapult
unit_cap	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0	xereus_tmb_mon_ushabti
unit_cap	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_1	xereus_tmb_mon_ushabti_great
unit_cap	wh2_dlc09_effect_unit_cap_tmb_jackal	xereus_tmb_mon_ushabti
unit_cap	wh2_dlc09_effect_unit_cap_tmb_jackal	xereus_tmb_mon_ushabti_great
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_tomb_scorpion	xereus_tmb_mon_tomb_scorpion
unit_cap	sda_effect_unit_cap_xereus_tmb_inf_nehekhara_warriors	xereus_tmb_inf_nehekhara_warriors
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_heirotitan	xereus_tmb_mon_heirotitan
unit_cap	sda_effect_unit_cap_xereus_tmb_mon_necrosphinx	xereus_tmb_mon_necrosphinx
unit_cap	stephen_effect_unit_cap_xereus_tmb_cav_necropolis_knights_1	xereus_tmb_cav_necropolis_knights_1
unit_cap	stephen_effect_unit_cap_xereus_tmb_cav_necropolis_knights_2	xereus_tmb_cav_necropolis_knights_2
