bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/vanilla_tech_bonus		
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_archer_rank7	wh2_dlc09_tmb_inf_skeleton_archers_ror
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_archer_rank7	wh2_dlc09_tmb_mon_ushabti_ror
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_archer_rank7	wh2_dlc09_tmb_vet_all_archer
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_archer_rank7	wh2_pro06_tmb_vet_bone_giant
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_chariots	wh2_dlc09_tmb_chariots
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_catapult
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archer_catapult	wh2_pro06_tmb_mon_bone_giant_0
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archer	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_horsemen
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skull_catapult_casket	wh2_dlc09_tmb_art_screaming_skull_catapult_0
ammo_mod	wh2_dlc09_effect_force_stat_ammunition_tmb_skull_catapult_casket	wh2_dlc09_tmb_casket_of_souls
melee_damage_ap_mod_add	wh2_dlc09_effect_force_stat_ap_damage_carrion	wh2_dlc09_tmb_mon_carrion_0
armour_mod	wh2_dlc09_effect_force_stat_armour_brt_knights	brt_knights
armour_mod	wh2_dlc09_effect_force_stat_armour_necropolis_knights	wh2_dlc09_tmb_necropolis_knights
armour_mod	wh2_dlc09_effect_force_stat_armour_necrosphinx	wh2_dlc09_tmb_necrosphinx
armour_mod	wh2_dlc09_effect_force_stat_armour_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
armour_mod	wh2_dlc09_effect_force_stat_armour_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
armour_mod	wh2_dlc09_effect_force_stat_armour_sepulchral_stalkers	wh2_dlc09_tmb_sepulchral_stalkers
armour_mod	wh2_dlc09_effect_force_stat_armour_skeleton_archers_horsemen	wh2_dlc09_tmb_horsemen
armour_mod	wh2_dlc09_effect_force_stat_armour_skeleton_archers_horsemen	wh2_dlc09_tmb_skeleton_archer
armour_mod	wh2_dlc09_effect_force_stat_armour_sphinxes	wh2_dlc09_tmb_sphinx_all
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_cav_rank7	wh2_dlc09_tmb_cav_necropolis_knights_ror
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_cav_rank7	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_cav_rank7	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_cav_rank7	wh2_dlc09_tmb_vet_all_cav
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_melee_infantry_rank7	wh2_dlc09_tmb_vet_all_infantry
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_melee_infantry_rank7	wh2_dlc09_tmb_vet_all_infantry_ror
armour_mod	wh2_dlc09_effect_force_stat_armour_tmb_melee_infantry	wh2_dlc09_tmb_all_melee_infantry
armour_mod	wh2_dlc09_effect_force_stat_armour_tomb_guard	wh2_dlc09_tmb_tomb_guard
armour_mod	wh2_dlc09_effect_force_stat_armour_tombguard_hierotitan	wh2_dlc09_tmb_mon_heirotitan_0
armour_mod	wh2_dlc09_effect_force_stat_armour_tombguard_hierotitan	wh2_dlc09_tmb_tomb_guard
armour_mod	wh2_dlc09_effect_force_stat_armour_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
damage_vs_infantry	wh2_dlc09_effect_force_stat_bonus_vs_infantry_tomb_scorpion	wh2_dlc09_tmb_scorpion_no_ror
damage_vs_large_entities	wh2_dlc09_effect_force_stat_bonus_vs_large_sphinx	wh2_dlc09_tmb_necrosphinx
damage_vs_large_entities	wh2_dlc09_effect_force_stat_bonus_vs_large_sphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
charge_add	wh2_dlc09_effect_force_stat_charge_bonus_add_skv_stormvermin	skv_stormvermin
charge_add	wh2_dlc09_effect_force_stat_charge_bonus_add_tmb_carrion	wh2_dlc09_tmb_mon_carrion_0
charge_add	wh2_dlc09_effect_force_stat_charge_bonus_add_tmb_chariot_warsphinx	wh2_dlc09_tmb_chariots
