effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/arkhan_technology					
tech_arkhan_crypt_ghoul_bonus_1	magical_attacks.png	100	magical_attacks.png	battle	true
tech_arkhan_crypt_ghoul_bonus_2	resistance_physical.png	100	resistance_physical.png	battle	true
tech_arkhan_crypt_ghoul_bonus_3	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_dire_wolves_bonus_1	phase_posion.png	100	phase_posion.png	battle	true
tech_arkhan_dire_wolves_bonus_2	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_dire_wolves_bonus_3	bonus_vs_small_character.png	100	bonus_vs_small_character.png	battle	true
tech_arkhan_fell_bats_bonus_1	general_ability.png	100	general_ability.png	battle	true
tech_arkhan_fell_bats_bonus_2	resistance_physical.png	100	resistance_physical.png	battle	true
tech_arkhan_fell_bats_bonus_3	magical_attacks.png	100	magical_attacks.png	battle	true
tech_arkhan_cairn_wraiths_bonus_1	barrier.png	100	barrier.png	battle	true
tech_arkhan_cairn_wraiths_bonus_2	general_ability.png	100	general_ability.png	battle	true
tech_arkhan_cairn_wraiths_bonus_3	melee.png	100	melee.png	battle	true
tech_arkhan_hexwraith_bonus_1	barrier.png	100	barrier.png	battle	true
tech_arkhan_hexwraith_bonus_2	devastating_flanker.png	100	devastating_flanker.png	battle	true
tech_arkhan_hexwraith_bonus_3	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_mortis_engine_bonus_1	barrier.png	100	barrier.png	battle	true
tech_arkhan_mortis_engine_bonus_2	general_ability.png	100	general_ability.png	battle	true
tech_arkhan_mortis_engine_bonus_3	battle_movement.png	100	battle_movement.png	battle	true
tech_arkhan_barracks_unit_capacity	unit_capacity.png	1	unit_capacity.png	campaign	true
tech_arkhan_mound_unit_capacity	unit_capacity.png	1	unit_capacity.png	campaign	true
tech_arkhan_enable_army_abilty_raise_skeletons	general_ability.png	500	general_ability.png	battle	true
tech_arkhan_effect_agent_action_passive_spread_corruption_vampiric	corruption_vampiric.png	9	corruption_vampiric.png	campaign	true
tech_arkhan_effect_agent_action_passive_spread_corruption_buff	corruption_vampiric.png	9	corruption_vampiric.png	campaign	true
tech_arkhan_effect_campaign_attrition_vampiric_attrition_casualties	attrition.png	100	attrition.png	campaign	true
tech_arkhan_main_effect_commandment_asaph	edict_tmb_worship_of_asaph.png	170	edict_tmb_worship_of_asaph.png	campaign	true
tech_arkhan_main_effect_commandment_khasar	edict_tmb_worship_of_khsar.png	170	edict_tmb_worship_of_khsar.png	campaign	true
