effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/arkhan_the_black_expanded					
stephen_effect_ability_disable_dark_reanimation	general_ability.png	605	general_ability.png	battle	true
stephen_effect_ability_enable_dark_reanimation	general_ability.png	600	general_ability.png	battle	true
stephen_effect_ability_enable_dark_reanimation_upgraded	general_ability.png	600	general_ability.png	battle	true
stephen_effect_passive_undying_legions	general_ability.png	600	general_ability.png	battle	true
stephen_effect_ability_enable_spell_mastery	attribute_mastery_of_elemental_winds.png	162	attribute_mastery_of_elemental_winds.png	battle	true
stephen_effect_arkhan_remove_advanced_death_magic_1	magic_character.png	502	magic_character.png	both	false
stephen_effect_arkhan_unlock_advanced_vampire_magic_1	magic_character.png	500	magic_character.png	both	true
stephen_effect_arkhan_remove_advanced_death_magic_2	magic_character.png	502	magic_character.png	both	false
stephen_effect_arkhan_unlock_advanced_vampire_magic_2	magic_character.png	500	magic_character.png	both	true
stephen_effect_arkhan_remove_advanced_death_magic_1_dummy	magic_character.png	502	magic_character.png	both	false
stephen_effect_arkhan_unlock_advanced_vampire_magic_1_dummy	magic_character.png	500	magic_character.png	both	true
stephen_effect_arkhan_remove_advanced_death_magic_2_dummy	magic_character.png	502	magic_character.png	both	false
stephen_effect_arkhan_unlock_advanced_vampire_magic_2_dummy	magic_character.png	500	magic_character.png	both	true
stephen_effect_arkhan_item_advanced_vampire_magic_dummy	item_ability.png	1	item_ability.png	both	true
stephen_effect_ability_enable_necromantic_vigour	general_ability.png	310	general_ability.png	battle	true
stephen_tomb_king_enable_name_tomb_king		0		campaign	true
stephen_effect_ability_enable_garrison_heroes		0		battle	true
stephen_effect_ability_liber_mortis_cooldown	wh2_dlc09_lord_abilities_the_liber_mortis.png	99	wh2_dlc09_lord_abilities_the_liber_mortis.png	battle	false
stephen_effect_ability_necropolis_blast_cooldown	general_ability.png	99	general_ability.png	battle	false
stephen_effect_ability_raise_dead_enable	spell_ability.png	5	spell_ability.png	battle	true
stephen_effect_ability_cooldown_raise_dead	magic_cooldown.png	60	magic_cooldown.png	battle	false
stephen_effect_ability_uses_raise_dead	spell_ability.png	10	spell_ability.png	battle	true
stephen_effect_ability_wom_raise_dead	spell_ability.png	10	spell_ability.png	battle	false
