ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/arkhan_the_black_expanded	
wh_main_unit_passive_unstable	xereus_tmb_inf_grave_guard
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_inf_grave_guard
wh_main_unit_passive_unstable	xereus_tmb_inf_grave_guard_great
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_inf_grave_guard_great
wh_main_unit_passive_unstable	xereus_tmb_mon_terrorgheist
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_mon_terrorgheist
wh2_main_unit_abilities_death_shriek	xereus_tmb_mon_terrorgheist
wh_main_unit_passive_regeneration	xereus_tmb_mon_terrorgheist
wh3_main_unit_passive_single_entity	xereus_tmb_mon_terrorgheist
wh_main_unit_passive_unstable	xereus_tmb_mon_zombie_dragon
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_mon_zombie_dragon
wh2_main_unit_abilities_pestilential_breath	xereus_tmb_mon_zombie_dragon
wh3_main_unit_passive_single_entity	xereus_tmb_mon_zombie_dragon
wh_main_unit_passive_regeneration	xereus_tmb_mon_crypt_horror
wh_main_unit_passive_unstable	xereus_tmb_mon_crypt_horror
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_mon_crypt_horror
wh_main_unit_passive_unstable	xereus_tmb_inf_cairn_wraith
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_inf_cairn_wraith
wh_dlc04_unit_passive_blasphemous_tome	xereus_tmb_veh_mortis_engine
wh_dlc04_unit_passive_the_reliquary_binding	xereus_tmb_veh_mortis_engine
wh_dlc04_unit_passive_the_reliquary_corruption	xereus_tmb_veh_mortis_engine
wh_main_unit_passive_regeneration	xereus_tmb_veh_mortis_engine
wh_main_unit_passive_unstable	xereus_tmb_veh_mortis_engine
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_veh_mortis_engine
wh3_main_unit_passive_single_entity	xereus_tmb_veh_mortis_engine
wh_main_unit_passive_unstable	xereus_tmb_inf_nagashizzar_guard
wh_main_unit_passive_unstable_mark_ii	xereus_tmb_inf_nagashizzar_guard
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_skeleton_spearmen
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_skeleton_spearmen
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_skeleton_warriors
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_skeleton_warriors
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_inf_skeleton_archers
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_inf_skeleton_archers
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_mon_ushabti
wh2_dlc09_unit_passive_unstable_sand	xereus_tmb_mon_ushabti
wh2_dlc09_unit_passive_unstable_mark_ii_sand	xereus_tmb_mon_ushabti_great
