ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/extra_tomb_king_lords	
wh2_dlc09_character_abilities_strike_of_tombs	stephen_tmb_cha_tomb_king_1
skill_arkhan_character_abilities_tomb_king_rally	stephen_tmb_cha_tomb_king_1
wh2_dlc09_lord_passive_my_will_be_done	stephen_tmb_cha_tomb_king_1
wh2_dlc09_lord_passive_the_curse	stephen_tmb_cha_tomb_king_1
wh2_dlc09_character_abilities_strike_of_tombs	stephen_tmb_cha_tomb_king_2
skill_arkhan_character_abilities_tomb_king_rally	stephen_tmb_cha_tomb_king_2
wh2_dlc09_lord_passive_my_will_be_done	stephen_tmb_cha_tomb_king_2
wh2_dlc09_lord_passive_the_curse	stephen_tmb_cha_tomb_king_2
wh2_dlc09_character_abilities_strike_of_tombs	stephen_tmb_cha_tomb_king_3
skill_arkhan_character_abilities_tomb_king_rally	stephen_tmb_cha_tomb_king_3
wh2_dlc09_lord_passive_my_will_be_done	stephen_tmb_cha_tomb_king_3
wh2_dlc09_lord_passive_the_curse	stephen_tmb_cha_tomb_king_3
wh2_dlc09_character_abilities_strike_of_tombs	stephen_tmb_cha_tomb_king_4
skill_arkhan_character_abilities_tomb_king_rally	stephen_tmb_cha_tomb_king_4
wh2_dlc09_lord_passive_my_will_be_done	stephen_tmb_cha_tomb_king_4
wh2_dlc09_lord_passive_the_curse	stephen_tmb_cha_tomb_king_4
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_death_0
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_death_1
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_light_0
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_light_1
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_nehekhara_0
wh2_dlc09_character_abilities_curse_of_khsar	xereus_tmb_cha_liche_priest_nehekhara_1
wh2_dlc09_character_abilities_curse_of_khsar	steve_ark_tmb_liche_priest_vampire
wh2_dlc09_character_abilities_curse_of_khsar	steve_ark_tmb_liche_priest_vampire_1
