unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed
#main_units_tables;4;db/main_units_tables/arkhan_the_black_expanded																																											
wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned		-1	melee_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned	160	0	0	wh_main_shp_transport	1	1	160	0	0	heavy		0	1641287021	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	1	false	tmb_skeleton_warriors		false		200.0	0.0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_inf_zmb_summon		-1	melee_infantry	1	false	xereus_tmb_inf_zmb_summon	160	0	0	wh_main_shp_transport	1	1	160	100	25	heavy		0	198765843	true	wh_main_vo_culture_Zombie	infantry_sword	1	false	vamp_zombie		false		50.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_inf_grave_guard		0	melee_infantry	1	false	xereus_tmb_inf_grave_guard	120	0	800	wh_main_shp_transport	1	1	120	0	0	heavy		0	198765844	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	3	false	vamp_grave_guard		false		750.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_inf_grave_guard_great		0	melee_infantry	1	false	xereus_tmb_inf_grave_guard_great	120	0	800	wh_main_shp_transport	1	1	120	0	0	heavy		0	198765845	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword_great	3	false	vamp_grave_guard		false		950.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_mon_terrorgheist		0	monster	3	false	xereus_tmb_mon_terrorgheist	1	0	1750	wh_main_shp_transport	1	1	1	0	0	heavy		0	198765846	true	wh_main_vo_culture_Terrorgheist	dragon	5	true	vamp_terrorgheist		true		2000.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	0	false	false		0.0	true
xereus_tmb_mon_crypt_horror		0	monstrous_infantry	2	false	xereus_tmb_mon_crypt_horror	16	0	1250	wh_main_shp_transport	1	1	16	0	0	heavy		0	198765850	true	wh_main_vo_culture_Crypt_Horror	monstrous_infantry	3	true	vamp_crypt_horror		false		800.0	0.0	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_inf_cairn_wraith		0	melee_infantry	1	false	xereus_tmb_inf_cairn_wraith	60	0	1100	wh_main_shp_transport	1	1	60	0	0	heavy		0	198765858	true	wh_main_vo_culture_Wraith	vmp_infantry_scythe	4	false	vamp_cairn_wraith		false		850.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
xereus_tmb_veh_mortis_engine		0	chariot	1	false	xereus_tmb_veh_mortis_engine	18	0	800	wh_main_shp_transport	1	1	18	0	0	heavy		0	198765867	true	wh_main_vo_culture_Vampire	magic_chariot	4	true	default		true	composite_scene\porthole\mortis_engine_porthole_01.csc	1400.0	0.0	false	vo_culture_None	false	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	3	false	false		0.0	true
xereus_tmb_inf_nagashizzar_guard		0	melee_infantry	1	false	xereus_tmb_inf_nagashizzar_guard	120	0	1000	wh_main_shp_transport	1	1	120	0	0	heavy		0	198765885	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	3	false	vamp_grave_guard		false		750.0	0.0	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0	true
