bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/arkhan_the_black_expanded	
meat_shield	xereus_tmb_inf_zmb_summon
anti_infantry	xereus_tmb_inf_grave_guard
armour_piercing	xereus_tmb_inf_grave_guard
anti_infantry	xereus_tmb_inf_grave_guard_great
armour_piercing	xereus_tmb_inf_grave_guard_great
armoured	xereus_tmb_inf_grave_guard_great
anti_large	xereus_tmb_mon_terrorgheist
armour_piercing	xereus_tmb_mon_terrorgheist
armoured	xereus_tmb_mon_terrorgheist
terror	xereus_tmb_mon_terrorgheist
armour_piercing	xereus_tmb_mon_crypt_horror
poison	xereus_tmb_mon_crypt_horror
regeneration	xereus_tmb_mon_crypt_horror
armour_piercing	xereus_tmb_inf_cairn_wraith
ethereal	xereus_tmb_inf_cairn_wraith
terror	xereus_tmb_inf_cairn_wraith
magic_harvester	xereus_tmb_veh_mortis_engine
magical_aura	xereus_tmb_veh_mortis_engine
mass_regeneration	xereus_tmb_veh_mortis_engine
terror	xereus_tmb_veh_mortis_engine
anti_infantry	xereus_tmb_inf_nagashizzar_guard
armour_piercing	xereus_tmb_inf_nagashizzar_guard
armoured	xereus_tmb_inf_nagashizzar_guard
defender	xereus_tmb_inf_nagashizzar_guard
anti_large	xereus_tmb_inf_skeleton_spearmen
meat_shield	xereus_tmb_inf_skeleton_spearmen
shielded	xereus_tmb_inf_skeleton_spearmen
meat_shield	xereus_tmb_inf_skeleton_warriors
shielded	xereus_tmb_inf_skeleton_warriors
good_range	xereus_tmb_inf_skeleton_archers
armour_piercing	xereus_tmb_mon_zombie_dragon
armoured	xereus_tmb_mon_zombie_dragon
scaly_skin	xereus_tmb_mon_zombie_dragon
anti_infantry	xereus_tmb_mon_ushabti
armour_piercing	xereus_tmb_mon_ushabti
armoured	xereus_tmb_mon_ushabti
armour_piercing	xereus_tmb_mon_ushabti_great
armour_piercing_ranged	xereus_tmb_mon_ushabti_great
armoured	xereus_tmb_mon_ushabti_great
anti_infantry	xereus_tmb_inf_tomb_guard
armoured_and_shielded	xereus_tmb_inf_tomb_guard
anti_large	xereus_tmb_inf_tomb_guard_halberd
armoured_and_shielded	xereus_tmb_inf_tomb_guard_halberd
charge_reflector_vs_large	xereus_tmb_inf_tomb_guard_halberd
anti_infantry	xereus_tmb_art_screaming_skull_catapult
armour_piercing_ranged	xereus_tmb_art_screaming_skull_catapult
spellcaster	steve_ark_tmb_liche_priest_vampire
spellcaster	steve_ark_tmb_liche_priest_vampire_1
anti_infantry	stephen_tmb_cha_tomb_king_1
armoured_and_shielded	stephen_tmb_cha_tomb_king_1
melee_expert	stephen_tmb_cha_tomb_king_1
anti_infantry	stephen_tmb_cha_tomb_king_2
armoured_and_shielded	stephen_tmb_cha_tomb_king_2
melee_expert	stephen_tmb_cha_tomb_king_2
anti_infantry	stephen_tmb_cha_tomb_king_3
armoured	stephen_tmb_cha_tomb_king_3
melee_expert	stephen_tmb_cha_tomb_king_3
anti_infantry	stephen_tmb_cha_tomb_king_4
armoured	stephen_tmb_cha_tomb_king_4
melee_expert	stephen_tmb_cha_tomb_king_4
terror	stephen_tmb_cha_tomb_king_4
anti_infantry	xereus_tmb_mon_tomb_scorpion
armour_piercing	xereus_tmb_mon_tomb_scorpion
armoured	xereus_tmb_mon_tomb_scorpion
terror	xereus_tmb_mon_tomb_scorpion
anti_infantry	xereus_tmb_inf_nehekhara_warriors
damage_dealer	xereus_tmb_inf_nehekhara_warriors
armour_piercing	xereus_tmb_mon_heirotitan
armoured	xereus_tmb_mon_heirotitan
spellcaster	xereus_tmb_mon_heirotitan
terror	xereus_tmb_mon_heirotitan
anti_large	xereus_tmb_mon_necrosphinx
armour_piercing	xereus_tmb_mon_necrosphinx
armoured	xereus_tmb_mon_necrosphinx
terror	xereus_tmb_mon_necrosphinx
spellcaster	xereus_tmb_cha_liche_priest_death_0
spellcaster	xereus_tmb_cha_liche_priest_death_1
spellcaster	xereus_tmb_cha_liche_priest_light_0
spellcaster	xereus_tmb_cha_liche_priest_light_1
spellcaster	xereus_tmb_cha_liche_priest_nehekhara_0
spellcaster	xereus_tmb_cha_liche_priest_nehekhara_1
armour_piercing	xereus_tmb_cav_necropolis_knights_1
armoured_and_shielded	xereus_tmb_cav_necropolis_knights_1
poison	xereus_tmb_cav_necropolis_knights_1
anti_large	xereus_tmb_cav_necropolis_knights_2
armour_piercing	xereus_tmb_cav_necropolis_knights_2
armoured	xereus_tmb_cav_necropolis_knights_2
poison	xereus_tmb_cav_necropolis_knights_2
