ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/arkhan_the_black_expanded	
skill_arkhan_character_abilities_tomb_king_rally_upgraded	wh_main_all_replenish
skill_arkhan_character_abilities_tomb_king_rally_upgraded	wh_main_all_resurrect
skill_arkhan_passive_endless_hordes	wh_main_all_replenish
skill_arkhan_passive_endless_hordes	wh_main_all_resurrect
skill_arkhan_passive_endless_hordes	wh_main_all_resurrect_hp
skill_lore_passive_necromantic_vigour	wh_dlc05_spell_trigger_when_casting
skill_arkhan_facton_passive_siphon_of_souls_1	wh_main_all_replenish
skill_arkhan_facton_passive_siphon_of_souls_1	wh_main_all_resurrect_hp
skill_arkhan_facton_passive_siphon_of_souls_2	wh_main_all_replenish
skill_arkhan_facton_passive_siphon_of_souls_2	wh_main_all_resurrect_hp
skill_arkhan_facton_passive_siphon_of_souls_3	wh_main_all_replenish
skill_arkhan_facton_passive_siphon_of_souls_3	wh_main_all_resurrect_hp
arkhan_army_ability_raise_skeletons	wh_dlc09_all_summon_skeleton_warriors
arkhan_army_ability_raise_skeletons	wh_main_all_defend_vs_charge
arkhan_army_ability_raise_skeletons	wh_main_all_direct_damage_unbinding
arkhan_lord_abilities_eldritch_blast	wh2_main_spell_friendly_fire_explosion
arkhan_lord_abilities_eldritch_blast	wh_main_all_poor_vs_large
arkhan_hero_abilities_raise_dead	wh_main_all_summon_zombies
arkhan_hero_abilities_raise_dead	wh_main_all_defend_vs_charge
arkhan_hero_abilities_raise_dead	wh_main_all_direct_damage_unbinding
