key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/arkhan_the_black_unit_caps				
wh2_dlc09_tmb_inf_crypt_ghouls	false	-1	-1	
wh2_dlc09_tmb_cav_hexwraiths	false	-1	-1	
wh2_dlc09_tmb_mon_dire_wolves	false	-1	-1	
wh2_dlc09_tmb_mon_fell_bats	false	-1	-1	
steve_ark_tmb_liche_priest_vampire	false	-1	-1	
steve_ark_tmb_liche_priest_vampire_1	false	-1	-1	
stephen_tmb_cha_tomb_king_1	false	-1	-1	
stephen_tmb_cha_tomb_king_2	false	-1	-1	
stephen_tmb_cha_tomb_king_3	false	-1	-1	
stephen_tmb_cha_tomb_king_4	false	-1	-1	
xereus_tmb_cha_liche_priest_death_0	false	-1	-1	
xereus_tmb_cha_liche_priest_death_1	false	-1	-1	
xereus_tmb_cha_liche_priest_light_0	false	-1	-1	
xereus_tmb_cha_liche_priest_light_1	false	-1	-1	
xereus_tmb_cha_liche_priest_nehekhara_0	false	-1	-1	
xereus_tmb_cha_liche_priest_nehekhara_1	false	-1	-1	
xereus_tmb_cha_liche_heroes	false	-1	-1	
xereus_tmb_inf_grave_guard	false	-1	-1	
xereus_tmb_inf_grave_guard_great	false	-1	-1	
xereus_tmb_mon_terrorgheist	false	-1	-1	
xereus_tmb_mon_crypt_horror	false	-1	-1	
xereus_tmb_inf_cairn_wraith	false	-1	-1	
xereus_tmb_veh_mortis_engine	false	-1	-1	
xereus_tmb_inf_nagashizzar_guard	false	-1	-1	
xereus_tmb_inf_skeleton_spearmen	false	-1	-1	
xereus_tmb_inf_skeleton_warriors	false	-1	-1	
xereus_tmb_inf_skeleton_archers	false	-1	-1	
xereus_tmb_mon_zombie_dragon	false	-1	-1	
xereus_tmb_mon_ushabti	false	-1	-1	
xereus_tmb_mon_ushabti_great	false	-1	-1	
xereus_tmb_inf_tomb_guard	false	-1	-1	
xereus_tmb_inf_tomb_guard_halberd	false	-1	-1	
xereus_tmb_art_screaming_skull_catapult	false	-1	-1	
xereus_tmb_mon_tomb_scorpion	false	-1	-1	
xereus_tmb_inf_nehekhara_warriors	false	-1	-1	
xereus_tmb_mon_heirotitan	false	-1	-1	
xereus_tmb_mon_necrosphinx	false	-1	-1	
xereus_tmb_cav_necropolis_knights_1	false	-1	-1	
xereus_tmb_cav_necropolis_knights_2	false	-1	-1	
