key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group
#unit_special_abilities_tables;70;db/unit_special_abilities_tables/arkhan_the_black_expanded																																																																				
skill_arkhan_character_abilities_tomb_king_rally	14.0	60.0	-1	35.0	true	-1	0	true	0.0		false	false	false	0.0	false	false	0.0	false	99999995				0.0	0.0	wh_abilities_generic_buff	wh_abilities_generic_buff	wh2_dlc14_abilities_reaper_of_souls			0.0	wh2_dlc14_lord_abilities_reaper_of_souls_miscast	augment_morale_area	wh_group_character		vo_battle_special_ability_generic_response	50.0	50.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_unit	3	false	1.0		true			
skill_arkhan_character_abilities_tomb_king_rally_upgraded	10.0	90.0	-1	35.0	true	-1	0	true	0.0		false	false	false	0.0	false	false	0.0	false	99999996				0.0	0.0	wh_abilities_generic_buff	wh_abilities_generic_buff	wh2_dlc14_abilities_reaper_of_souls			0.0	wh2_dlc14_lord_abilities_reaper_of_souls_miscast	augment_morale_area	wh_group_character		vo_battle_special_ability_generic_response	75.0	75.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_self	3	false	1.0		true			
skill_arkhan_passive_endless_hordes	-1.0	-1.0	-1	-1.0	true	-1	0	true	-1.0		false	false	false	0.0	false	false	0.0	true	253616				0.0	0.0	wh_abilities_generic_regeneration					0.0					vo_battle_special_ability_generic_response	100.0	100.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_self	1	false	1.0		true			
skill_lore_passive_necromantic_vigour	7.0	-1.0	-1	-1.0	true	-1	0	true	-1.0		false	false	false	0.0	false	false	0.0	true	253617				0.0	0.0	wh_abilities_generic_regeneration_no_ring					0.0					vo_battle_special_ability_generic_response	50.0	50.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_army	1	false	1.0		true			
skill_arkhan_facton_passive_siphon_of_souls_1	7.0	-1.0	1	0.0	true	0	0	false	-1.0		false	false	false	0.0	false	false	0.0	true	123741963				0.0	0.0	wh_abilities_generic_regeneration_no_ring					0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_self	1	false	1.0		true			
skill_arkhan_facton_passive_siphon_of_souls_2	14.0	-1.0	1	0.0	true	0	0	false	-1.0		false	false	false	0.0	false	false	0.0	true	123741964				0.0	0.0	wh_abilities_generic_regeneration_no_ring					0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_self	1	false	1.0		true			
skill_arkhan_facton_passive_siphon_of_souls_3	21.0	-1.0	1	0.0	true	0	0	false	-1.0		false	false	false	0.0	false	false	0.0	true	123741965				0.0	0.0	wh_abilities_generic_regeneration_no_ring					0.0					vo_battle_special_ability_generic_response	0.0	0.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	buff_self	1	false	1.0		true			
arkhan_army_ability_raise_skeletons	10.0	60.0	-1	0.0	false	0	0	false	0.0		true	false	true	-1.0	false	false	2.0	false	253614		wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned		0.0	0.0	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0		hex_ranged_summon	wh3_main_ability_modular		wh_main_spell_vampires_raise_dead	100.0	100.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	false	wh3_main_tzeentch_gate			false	false	false	false	false			false	false	true	-1.0	false	default	1	false	1.0		true			
arkhan_lord_abilities_eldritch_blast	5.0	60.0	3	0.0	true	0	0	false	0.0		false	false	false	0.0	false	false	0.0	false	253615				0.0	0.0	wh_abilities_generic_explosion				arkhan_lord_abilities_eldritch_blast	0.0		aoe_centred_on_self	wh_group_lord_ability		vo_battle_special_ability_generic_response	75.0	25.0				false	false	true	false				false	false	false	false	false			false	false	true	-1.0	false	damage_aoe	2	false	1.0		true			
arkhan_hero_abilities_raise_dead	1.0	39.0	7	0.0	false	1	0	false	0.0		true	false	true	60.0	false	false	3.0	false	99999988		xereus_tmb_inf_zmb_summon	cast_up_medium	4.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0		hex_ranged_summon	wh_main_spell_vampires_raise_dead	vampires_medium	vo_battle_special_ability_raise_dead	50.0	0.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0	false	default	1	false	1.0		true			
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan	1.0	120.0	5	0.0	false	1	0	false	0.0		true	false	true	50.0	false	false	0.0	false	48641747		wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned		0.0	0.0	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0		assault_opportunity	wh_group_character		vo_battle_special_ability_generic_response	100.0	100.0			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true	wh3_main_tzeentch_gate			false	false	false	false	false			false	false	true	-1.0	false	default	1	false	1.0		true			
