faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/arkhan_the_black_expanded				
	xereus_tmb_inf_zmb_summon	xereus_tmb_inf_zmb_summon	xereus_tmb_inf_zmb_summon	xereus_tmb_inf_zmb_summon
	xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard	xereus_tmb_inf_grave_guard
	xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist	xereus_tmb_mon_terrorgheist
	xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror	xereus_tmb_mon_crypt_horror
	xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great	xereus_tmb_inf_grave_guard_great
	xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith	xereus_tmb_inf_cairn_wraith
	xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine	xereus_tmb_veh_mortis_engine
	xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard	xereus_tmb_inf_nagashizzar_guard
	xereus_tmb_inf_skeleton_spearmen	xereus_tmb_inf_skeleton_spearmen	xereus_tmb_inf_skeleton_spearmen	xereus_tmb_inf_skeleton_spearmen
	xereus_tmb_inf_skeleton_warriors	xereus_tmb_inf_skeleton_warriors	xereus_tmb_inf_skeleton_warriors	xereus_tmb_inf_skeleton_warriors
	xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers	xereus_tmb_inf_skeleton_archers
	xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon	xereus_tmb_mon_zombie_dragon
	xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti	xereus_tmb_mon_ushabti
	xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great	xereus_tmb_mon_ushabti_great
	xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard	xereus_tmb_inf_tomb_guard
	xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd	xereus_tmb_inf_tomb_guard_halberd
	xereus_tmb_art_screaming_skull_catapult	xereus_tmb_art_screaming_skull_catapult	wh2_dlc09_tmb_skeleton_sword	xereus_tmb_art_screaming_skull_catapult
	steve_ark_tmb_liche_priest_vampire	steve_ark_tmb_cha_liche_priest_vampire	steve_ark_tmb_cha_liche_priest_vampire_1	tmb_cha_liche_priest_vampire_1
	steve_ark_tmb_liche_priest_vampire_1	steve_ark_tmb_cha_liche_priest_vampire	steve_ark_tmb_cha_liche_priest_vampire_1	tmb_cha_liche_priest_vampire_1
	stephen_tmb_cha_tomb_king_1	stephen_tmb_cha_tomb_king	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
	stephen_tmb_cha_tomb_king_2	stephen_tmb_cha_tomb_king	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
	stephen_tmb_cha_tomb_king_3	stephen_tmb_cha_tomb_king	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
	stephen_tmb_cha_tomb_king_4	stephen_tmb_cha_tomb_king	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
	xereus_tmb_mon_tomb_scorpion	xereus_tmb_mon_tomb_scorpion	xereus_tmb_mon_tomb_scorpion	xereus_tmb_mon_tomb_scorpion
	xereus_tmb_inf_nehekhara_warriors	xereus_tmb_inf_nehekhara_warriors	xereus_tmb_inf_nehekhara_warriors	xereus_tmb_inf_nehekhara_warriors
	xereus_tmb_mon_heirotitan	xereus_tmb_mon_heirotitan	xereus_tmb_mon_heirotitan	xereus_tmb_mon_heirotitan
	xereus_tmb_mon_necrosphinx	xereus_tmb_mon_necrosphinx	xereus_tmb_mon_necrosphinx	xereus_tmb_mon_necrosphinx
	xereus_tmb_cha_liche_priest_death_0	xereus_tmb_cha_liche_priest_death_0	xereus_tmb_cha_liche_priest_death_1	tmb_cha_liche_priest_vampire_2
	xereus_tmb_cha_liche_priest_death_1	xereus_tmb_cha_liche_priest_death_1	xereus_tmb_cha_liche_priest_death_1	tmb_cha_liche_priest_vampire_2
	xereus_tmb_cha_liche_priest_light_0	xereus_tmb_cha_liche_priest_light_0	xereus_tmb_cha_liche_priest_light_1	tmb_cha_liche_priest_vampire_3
	xereus_tmb_cha_liche_priest_light_1	xereus_tmb_cha_liche_priest_light_1	xereus_tmb_cha_liche_priest_light_1	tmb_cha_liche_priest_vampire_3
	xereus_tmb_cha_liche_priest_nehekhara_0	xereus_tmb_cha_liche_priest_nehekhara_0	xereus_tmb_cha_liche_priest_nehekhara_1	tmb_cha_liche_priest_vampire_4
	xereus_tmb_cha_liche_priest_nehekhara_1	xereus_tmb_cha_liche_priest_nehekhara_1	xereus_tmb_cha_liche_priest_nehekhara_1	tmb_cha_liche_priest_vampire_4
	xereus_tmb_cav_necropolis_knights_1	xereus_tmb_cav_necropolis_knights_1	xereus_tmb_cav_necropolis_knights_1	xereus_tmb_cav_necropolis_knights_1
	xereus_tmb_cav_necropolis_knights_2	xereus_tmb_cav_necropolis_knights_2	xereus_tmb_cav_necropolis_knights_2	xereus_tmb_cav_necropolis_knights_2
