faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set
#units_custom_battle_permissions_tables;10;db/units_custom_battle_permissions_tables/arkhan_the_black_expanded									
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_grave_guard	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_crypt_horror	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_grave_guard_great	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_cairn_wraith	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_veh_mortis_engine	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_terrorgheist	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_nagashizzar_guard	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_skeleton_spearmen	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_skeleton_warriors	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_skeleton_archers	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_zombie_dragon	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_ushabti	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_mon_ushabti_great	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_tomb_guard	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_inf_tomb_guard_halberd	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	xereus_tmb_art_screaming_skull_catapult	true	true				false	
wh2_dlc09_tmb_followers_of_nagash	false	steve_ark_tmb_liche_priest_vampire	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_cha_liche_priest_vampire_1.png	uniform_steve_ark_tmb_liche_priest_vampire_1	wh2_dlc09_tmb_cha_liche_priest_0	false	
