unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/arkhan_the_black_expanded	
wh_main_vmp_inf_zombie	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_grave_guard	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_terrorgheist	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_crypt_horror	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_grave_guard_great	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_cairn_wraith	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_veh_mortis_engine	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_nagashizzar_guard	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_skeleton_spearmen	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_skeleton_warriors	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_skeleton_archers	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_zombie_dragon	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_ushabti	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_ushabti_great	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_tomb_guard	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_tomb_guard_halberd	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_art_screaming_skull_catapult	wh2_dlc09_tomb_kings_arkhan
steve_ark_tmb_liche_priest_vampire	wh2_dlc09_tomb_kings_arkhan
steve_ark_tmb_liche_priest_vampire_1	wh2_dlc09_tomb_kings_arkhan
stephen_tmb_cha_tomb_king_1	wh2_dlc09_tomb_kings_arkhan
stephen_tmb_cha_tomb_king_2	wh2_dlc09_tomb_kings_arkhan
stephen_tmb_cha_tomb_king_3	wh2_dlc09_tomb_kings_arkhan
stephen_tmb_cha_tomb_king_4	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_tomb_scorpion	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_inf_nehekhara_warriors	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_heirotitan	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_mon_necrosphinx	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_death_0	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_death_1	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_light_0	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_light_1	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_nehekhara_0	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cha_liche_priest_nehekhara_1	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cav_necropolis_knights_1	wh2_dlc09_tomb_kings_arkhan
xereus_tmb_cav_necropolis_knights_2	wh2_dlc09_tomb_kings_arkhan
