key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_agent_subtypes__.loc		
agent_subtypes_description_text_override_arkhan_tmb_tomb_king		true
agent_subtypes_onscreen_name_override_arkhan_tmb_tomb_king	Tomb King	true
agent_subtypes_description_text_override_steve_ark_tmb_liche_priest_vampire		true
agent_subtypes_onscreen_name_override_steve_ark_tmb_liche_priest_vampire	Tainted Liche Priest (Vampires)	true
agent_subtypes_description_text_override_xereus_tmb_cha_liche_priest_death		true
agent_subtypes_onscreen_name_override_xereus_tmb_cha_liche_priest_death	Tainted Liche Priest (Death)	true
agent_subtypes_description_text_override_xereus_tmb_cha_liche_priest_light		true
agent_subtypes_onscreen_name_override_xereus_tmb_cha_liche_priest_light	Tainted Liche Priest (Light)	true
agent_subtypes_description_text_override_xereus_tmb_cha_liche_priest_nehekhara		true
agent_subtypes_onscreen_name_override_xereus_tmb_cha_liche_priest_nehekhara	Tainted Liche Priest (Nehekhara)	true
