key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_building_chains__.loc		
building_chains_chain_tooltip_stephen_tmb_followers_necropolis	Necropolis	false
building_chains_chain_tooltip_stephen_tmb_followers_minor_walls	Garrison	false
building_chains_chain_tooltip_stephen_tmb_followers_major_walls	Walls	false
building_chains_chain_tooltip_stephen_tmb_followers_ushabti	Ushabti	false
building_chains_chain_tooltip_stephen_tmb_followers_barracks	Infantry	false
building_chains_chain_tooltip_arkhan_tmb_vault_nagash	Pyramid	false
building_chains_chain_tooltip_stephen_tmb_followers_scorpions	Scorpions	false
building_chains_chain_tooltip_stephen_tmb_followers_hierotitan	Hierotitan	false
building_chains_chain_tooltip_stephen_tmb_followers_necrosphinx	Necrosphinx	false
building_chains_chain_tooltip_stephen_tmb_followers_decaying_battlefield	Battlefield	false
building_chains_chain_tooltip_stephen_tmb_followers_cavalry	Cavalry	false
building_chains_chain_tooltip_stephen_tmb_followers_graveguard	Legions	false
building_chains_chain_tooltip_stephen_tmb_followers_major	Province Capital	false
building_chains_chain_tooltip_stephen_tmb_followers_minor	Minor Settlement	false
