key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_building_culture_variants__.loc		
building_culture_variants_name_stephen_tmb_followers_major_1wh2_dlc09_tmb_followers_of_nagash	Dedicated Hovel	false
building_culture_variants_name_stephen_tmb_followers_major_2wh2_dlc09_tmb_followers_of_nagash	Dedicated Village	false
building_culture_variants_name_stephen_tmb_followers_major_3wh2_dlc09_tmb_followers_of_nagash	Dedicated Town	false
building_culture_variants_name_stephen_tmb_followers_major_4wh2_dlc09_tmb_followers_of_nagash	Bastion of The Dead	false
building_culture_variants_name_stephen_tmb_followers_major_5wh2_dlc09_tmb_followers_of_nagash	Deathhold Fortress	false
building_culture_variants_name_stephen_tmb_followers_minor_1wh2_dlc09_tmb_followers_of_nagash	Crypts	false
building_culture_variants_name_stephen_tmb_followers_minor_2wh2_dlc09_tmb_followers_of_nagash	Mastaba	false
building_culture_variants_name_stephen_tmb_followers_minor_3wh2_dlc09_tmb_followers_of_nagash	Mausoleum	false
building_culture_variants_name_stephen_tmb_followers_minor_walls_1wh2_dlc09_tmb_followers_of_nagash	Desert Lookout	false
building_culture_variants_name_stephen_tmb_followers_minor_walls_2wh2_dlc09_tmb_followers_of_nagash	Tower of Bone	false
building_culture_variants_name_stephen_tmb_followers_major_walls_1wh2_dlc09_tmb_followers_of_nagash	Skeletal Garrison	false
building_culture_variants_name_stephen_tmb_followers_major_walls_2wh2_dlc09_tmb_followers_of_nagash	Sandstone Walls	false
building_culture_variants_name_stephen_tmb_followers_major_walls_3wh2_dlc09_tmb_followers_of_nagash	Engraved Walls	false
building_culture_variants_name_stephen_tmb_followers_ushabti_1wh2_dlc09_tmb_followers_of_nagash	Statuary of Khemri	false
building_culture_variants_name_stephen_tmb_followers_ushabti_2wh2_dlc09_tmb_followers_of_nagash	Statue of Phakth	false
building_culture_variants_name_stephen_tmb_followers_barracks_1wh2_dlc09_tmb_followers_of_nagash	Open Graves	false
building_culture_variants_name_stephen_tmb_followers_barracks_2wh2_dlc09_tmb_followers_of_nagash	Crypt Barracks	false
building_culture_variants_name_stephen_tmb_followers_barracks_3wh2_dlc09_tmb_followers_of_nagash	Royal Barracks	false
building_culture_variants_name_arkhan_tmb_vault_nagashwh2_dlc09_tmb_followers_of_nagash	Vault of Nagash	false
building_culture_variants_name_stephen_tmb_followers_scorpions_1wh2_dlc09_tmb_followers_of_nagash	Scorpion Nest	false
building_culture_variants_name_stephen_tmb_followers_hierotitan_1wh2_dlc09_tmb_followers_of_nagash	Tainted Hierotitan Statue	false
building_culture_variants_name_stephen_tmb_followers_necrosphinx_1wh2_dlc09_tmb_followers_of_nagash	Tainted Necrosphinx Statue	false
building_culture_variants_name_stephen_tmb_followers_decaying_battlefield_1wh2_dlc09_tmb_followers_of_nagash	Parched Sands	false
building_culture_variants_name_stephen_tmb_followers_decaying_battlefield_2wh2_dlc09_tmb_followers_of_nagash	Forsaken Plains	false
building_culture_variants_name_stephen_tmb_followers_decaying_battlefield_3wh2_dlc09_tmb_followers_of_nagash	Domain of Death	false
building_culture_variants_name_stephen_tmb_followers_cavalry_1wh2_dlc09_tmb_followers_of_nagash	Ancient Battle Site	false
building_culture_variants_name_stephen_tmb_followers_cavalry_2wh2_dlc09_tmb_followers_of_nagash	Necroserpent Nest	false
building_culture_variants_name_stephen_tmb_followers_graveguardwh2_dlc09_tmb_followers_of_nagash	Nehekharan Battlefield	false
