key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_building_short_description_texts__.loc		
building_short_description_texts_short_description_stephen_tmb_followers_major_1	The dead return, unaware that what was once their grave is now also their home.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_2	Mastaba or ‘houses of eternity’ are, typically, flat-roofed tombs. Like all crypts in Nehekhara, once built, settlements soon rose up around them.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_3	These expansive, decadent testaments to death now teem with clamorous, violent Unlife.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_4	The dark visions of Unlife that emerge from these tombs will, when done, return.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_5	Great monuments to the departed, twisted into far-reaching cities of the dead.	false
building_short_description_texts_short_description_stephen_tmb_followers_minor_walls_1	The lookouts are dark blotches on a horizon of sand; vigilant hawks against the horrors of the desert.	false
building_short_description_texts_short_description_stephen_tmb_followers_minor_walls_2	A column of gleaming bone holds a stern and ominous watch over the shifting and treacherous Nehekharan sands.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_walls_1	The heat-bleached bone warriors of grim countenance watch over the battlements, watching for foes through hollowed sockets.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_walls_2	These lithified walls have seen empires rise and fall, and endured the accession of doom. They hold.	false
building_short_description_texts_short_description_stephen_tmb_followers_major_walls_3	The hieroglyphics inscribed upon these battlements channel protective wards, fending off any would-be invaders.	false
building_short_description_texts_short_description_stephen_tmb_followers_ushabti_1	The City of Kings is an eternal monument to the sovereigns of the desert.	false
building_short_description_texts_short_description_stephen_tmb_followers_ushabti_2	May the God of the Skies bless the warriors that stride forth in his name.	false
building_short_description_texts_short_description_stephen_tmb_followers_barracks_1	Those consigned to another world, revived to an insipid parody of life to do their master's bidding.	false
building_short_description_texts_short_description_stephen_tmb_followers_barracks_2	Interred at their liege lord's request, these soldiers are ready to fight again at a moment's notice.	false
building_short_description_texts_short_description_stephen_tmb_followers_barracks_3	The Tomb Kings demanded loyalty from their soldiers until death and beyond. In Unlife, they expect the same.	false
building_short_description_texts_short_description_arkhan_tmb_vault_nagash	The first of Nagash's great and powerful edifices. Even millennia later it is still surrounded by fell magic.	false
building_short_description_texts_short_description_stephen_tmb_followers_scorpions_1	It is not the sting of the Scorpion that kills, but rather its powerful claws and voracious, insatiable appetite.	false
building_short_description_texts_short_description_stephen_tmb_followers_hierotitan_1	Gaze upon the face of Tomb Kings past - the Hierotitan is the likeness of Nehekhara's sovereigns made massive.	false
building_short_description_texts_short_description_stephen_tmb_followers_necrosphinx_1	The abominable Necrosphinx towers above the Nehekharans, offering protection and destruction in exchange for hushed and cowed adoration.	false
