key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_character_skills__.loc		
character_skills_localised_description_stephen_skill_nagash_must_rise	Arkhan’s mastery of the dread art of necromancy is superior to even that of his fellow Mortarchs. He is so steeped in deathly sorcery that his presence bolsters and invorgates his forces.	true
character_skills_localised_name_stephen_skill_nagash_must_rise	First of the Mortarchs	true
character_skills_localised_name_stephen_skill_tmb_lord_reanimation	Dark Reanimation	true
character_skills_localised_description_stephen_skill_tmb_lord_reanimation	It takes an iron will and unnatural - supernatural - strength to rally bound troops routed by magical means.	true
character_skills_localised_name_stephen_skill_tmb_lord_reanimation_upgraded	Dark Resurrection	true
character_skills_localised_description_stephen_skill_tmb_lord_reanimation_upgraded	Dark litanies are uttered to restore the Tomb Kings' slain soldiers to a twisted, chattering imitation of life.	true
character_skills_localised_name_stephen_skill_arkhan_unique_vampires_advanced_1	Shadespire Shard	true
character_skills_localised_description_stephen_skill_arkhan_unique_vampires_advanced_1	The foulest incantations are contained within this shard.....	true
character_skills_localised_name_stephen_skill_arkhan_unique_vampires_advanced_2	Nagashizzar Shard	true
character_skills_localised_description_stephen_skill_arkhan_unique_vampires_advanced_2	The foulest incantations are contained within this shard.....	true
character_skills_localised_name_stephen_skill_tmb_magic_vampires_raise_dead	Raise Dead	true
character_skills_localised_description_stephen_skill_tmb_magic_vampires_raise_dead		true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_warsphinx	Khemrian Warsphinx	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_warsphinx	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_chariot	Skeleton Chariot	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	true
character_skills_localised_description_stephen_skill_tmb_lord_unique_arkhan_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	false
character_skills_localised_description_stephen_skill_tmb_lord_unique_arkhan_skeleton_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	false
character_skills_localised_name_stephen_skill_tmb_lord_unique_arkhan_skeletal_steed	Skeletal Steed	false
character_skills_localised_name_stephen_skill_tmb_lord_unique_arkhan_skeleton_chariot	Skeleton Chariot	false
