key	text	tooltip
#Loc;1;text/db/arkhan_the_black_expanded_land_units__.loc		
land_units_onscreen_name_xereus_tmb_inf_zmb_summon	Zombies	true
land_units_onscreen_name_xereus_tmb_inf_grave_guard	Grave Guard	true
land_units_onscreen_name_xereus_tmb_inf_grave_guard_great	Grave Guard (Great Weapons)	true
land_units_onscreen_name_xereus_tmb_mon_terrorgheist	Terrorgheist	true
land_units_onscreen_name_xereus_tmb_mon_crypt_horror	Crypt Horrors	true
land_units_onscreen_name_xereus_tmb_inf_cairn_wraith	Cairn Wraiths	true
land_units_onscreen_name_xereus_tmb_veh_mortis_engine	Mortis Engine	true
land_units_onscreen_name_steve_ark_tmb_liche_priest_vampire	Liche Priest (Vampires)	true
land_units_onscreen_name_steve_ark_tmb_liche_priest_vampire_1	Liche Priest (Vampires)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_death_0	Liche Priest (Death)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_death_1	Liche Priest (Death)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_light_0	Liche Priest (Light)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_light_1	Liche Priest (Light)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_nehekhara_0	Liche Priest (Nehekhara)	true
land_units_onscreen_name_xereus_tmb_cha_liche_priest_nehekhara_1	Liche Priest (Nehekhara)	true
land_units_onscreen_name_xereus_tmb_inf_nagashizzar_guard	Nagashizzar Guard	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_spearmen	Skeleton Spearmen	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_warriors	Skeleton Warriors	true
land_units_onscreen_name_xereus_tmb_inf_skeleton_archers	Skeleton Archers	true
land_units_onscreen_name_xereus_tmb_mon_zombie_dragon	Zombie Dragon	true
land_units_onscreen_name_xereus_tmb_mon_ushabti	Ushabti	true
land_units_onscreen_name_xereus_tmb_mon_ushabti_great	Ushabti (Great Bow)	true
land_units_onscreen_name_xereus_tmb_inf_tomb_guard	Tomb Guard	true
land_units_onscreen_name_xereus_tmb_inf_tomb_guard_halberd	Tomb Guard (Halberds)	true
land_units_onscreen_name_xereus_tmb_art_screaming_skull_catapult	Screaming Skull Catapult	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_1	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_2	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_3	Tomb King	true
land_units_onscreen_name_stephen_tmb_cha_tomb_king_4	Tomb King	true
land_units_onscreen_name_xereus_tmb_mon_tomb_scorpion	Tomb Scorpion	true
land_units_onscreen_name_xereus_tmb_inf_nehekhara_warriors	Nehekhara Warriors	true
land_units_onscreen_name_xereus_tmb_mon_heirotitan	Heirotitan	true
land_units_onscreen_name_xereus_tmb_mon_necrosphinx	Necrosphinx	true
land_units_onscreen_name_xereus_tmb_cav_necropolis_knights_1	Necropolis Knights	true
land_units_onscreen_name_xereus_tmb_cav_necropolis_knights_2	Necropolis Knights (Halberds)	true
