key	text	tooltip
#Loc;1;text/db/realmofsouls_special_ability_phases__.loc		
special_ability_phases_onscreen_name_followers_of_nagash_realm_of_souls_1		false
special_ability_phases_onscreen_name_followers_of_nagash_realm_of_souls_2		false
special_ability_phases_onscreen_name_followers_of_nagash_realm_of_souls_3		false
special_ability_phases_onscreen_name_skill_arkhan_character_abilities_tomb_king_rally		false
special_ability_phases_onscreen_name_skill_arkhan_character_abilities_tomb_king_rally_upgraded		false
special_ability_phases_onscreen_name_skill_lore_passive_necromantic_vigour	Necromantic Vigour	false
special_ability_phases_onscreen_name_skill_arkhan_facton_passive_siphon_of_souls_1		false
special_ability_phases_onscreen_name_skill_arkhan_facton_passive_siphon_of_souls_2		false
special_ability_phases_onscreen_name_skill_arkhan_facton_passive_siphon_of_souls_3		false
unit_abilities_onscreen_name_arkhan_unit_abilities_passive_hellblade	Hellblade	false
