key	text	tooltip
#Loc;1;text/db/sda_tomb_kings_ancillaries__.loc		
ancillaries_onscreen_name_arkhan_anc_mount_tmb_liche_priest_death_skeletal_steed	Skeletal Steed (Mount)	true
ancillaries_colour_text_arkhan_anc_mount_tmb_liche_priest_death_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_warsphinx	Khemrian Warsphinx	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_warsphinx	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_steed	Skeletal Steed	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_tomb_king_chariot	Skeleton Chariot	true
ancillaries_colour_text_stephen_anc_mount_tomb_king_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	true
ancillaries_onscreen_name_stephen_anc_mount_liche_priest_death_skeletal_steed	Skeletal Steed (Mount)	true
ancillaries_colour_text_stephen_anc_mount_liche_priest_death_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_liche_priest_light_skeletal_steed	Skeletal Steed (Mount)	true
ancillaries_colour_text_stephen_anc_mount_liche_priest_light_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_liche_priest_nehekhara_skeletal_steed	Skeletal Steed (Mount)	true
ancillaries_colour_text_stephen_anc_mount_liche_priest_nehekhara_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
ancillaries_onscreen_name_stephen_anc_mount_tmb_arkhan_skeletal_steed	Skeletal Steed (Mount)	true
ancillaries_colour_text_stephen_anc_mount_tmb_arkhan_skeletal_steed		true
ancillaries_onscreen_name_stephen_anc_mount_tmb_arkhan_skeleton_chariot	Skeletal Chariot	true
ancillaries_colour_text_stephen_anc_mount_tmb_arkhan_skeleton_chariot		true
