key	text	tooltip
#Loc;1;text/db/sda_tomb_kings_character_skills__.loc		
character_skills_localised_name_arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	Skeletal Steed	true
character_skills_localised_description_arkhan_skill_mount_tmb_wizard_unique_liche_priest_death_skeletal_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_liche_priest_death_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_liche_priest_death_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_liche_priest_light_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_liche_priest_light_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_liche_priest_nehekhara_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_liche_priest_nehekhara_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_steed	Skeletal Steed	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_warsphinx	Khemrian Warsphinx	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_warsphinx	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
character_skills_localised_name_stephen_skill_tmb_tomb_king_mount_chariot	Skeleton Chariot	true
character_skills_localised_description_stephen_skill_tmb_tomb_king_mount_chariot	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	true
